,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
2655,PM4007384,5627_0093,HILLSIDE TERRACE LLC,2014,In Compliance,1806 - 1820 23RD ST SE,HILLSIDE TERRACE LLC,8,WASHINGTON,DC,20020,1943,Multifamily Housing,Multifamily Housing,52127,52127.0,100,2.4,2.4,3.8,3.8,9.2,0.2,638.6,9136.3,945.081067,38.86743028,-76.97282073,
2656,PM3314944,5057_0803,Mayfair Mansions,2014,In Compliance,3720 HAYES ST,MAYFAIR MANSIONS LIMITED PARTNERSHIP,7,WASHINGTON,DC,20019,2011,Multifamily Housing,Multifamily Housing,417812,417812.0,100,3.1,3.1,9.6,9.6,171.4,0.4,33782.2,375160.0,,38.90293383,-76.94848869,
2657,PM3316403,5915_0014,Congress Park II,2014,In Compliance,1325 - 1333 SAVANNAH ST SE,SOUTHEAST WASHINGTON DEVELOPMENT ASSOCIATES LP,8,WASHINGTON,DC,20032,1983,Other,Multifamily Housing,56580,150000.0,100,3.1,3.1,9.7,9.7,62.0,0.4,13172.1,135842.0,,38.84322793,-76.98707425,
2658,PM3505747,6219_0032,Atlantic Terrace Ltd.,2014,In Compliance,4301 3RD ST,ATLANTIC TERRACE LTD,8,WASHINGTON,DC,20032,1964,Multifamily Housing,Multifamily Housing,200839,200839.0,100,4.2,4.2,10.3,10.3,90.8,0.5,17848.1,166319.7,2792.7574809999996,38.82811675,-77.00260796,
2659,PM3679816,0449_0059,McCollough Paradise Gardens Apartments,2014,In Compliance,1107 7TH ST NW,BISHOP S C MADISON TRUSTEE,6,WASHINGTON,DC,20001,1984,Multifamily Housing,Multifamily Housing,232208,235784.0,100,4.5,4.5,10.4,10.4,107.9,0.5,8774.6,188922.0,4073.220019,38.90472145,-77.02116118,
2660,PM3999186,3379_0820,"Kansas Avenue Development Group, LLC",2014,In Compliance,6031 KANSAS AV NW,KANSAS AVENUE DEVELOPMENT GROUP LLC,4,WASHINGTON,DC,20011,1900,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,71562,71562.0,98,12.8,12.5,15.7,15.4,54.8,0.8,84.3,22573.3,8383.214425,38.96313418,-77.00934759,
2661,PM3298389,0447_0041,Washington Apartments,2014,In Compliance,1300 - 1312 6TH ST NW,WASHINGTON APARTMENT LP,6,WASHINGTON,DC,20001,1977,Other,Multifamily Housing,83049,183000.0,100,5.8,5.8,18.1,18.1,141.6,0.8,9647.9,309920.6,,38.90807867,-77.02050082,
2662,PM3513627,0189_0060,Northumberland Apartments Inc,2014,In Compliance,2039 NEW HAMPSHIRE AV NW,NORTHUMBERLAND APARTMENTS INC,1,WASHINGTON,DC,20009,1909,Multifamily Housing,Multifamily Housing,104390,104390.0,100,12.9,12.9,18.4,18.5,91.3,0.9,1798.5,72381.8,10956.85311,38.91779009,-77.03534446,
2663,PM4378445,3768_0003,Aventine Fort Totten Building 3,2014,In Compliance,350 GALLOWAY ST,W M A T A,5,WASHINGTON,DC,20011,2008,Multifamily Housing,Multifamily Housing,50877,54533.0,100,6.4,6.4,20.2,20.2,46.9,0.9,2361.8,102766.2,,38.95286508,-77.00019807,
2664,PM4368018,0302_0074,Casa Iris Apartments,2014,In Compliance,2201 12TH ST NW,NATIONAL HISPANIC COUNCIL ON AGING,1,WASHINGTON,DC,20009,2007,Multifamily Housing,Multifamily Housing,328289,328290.0,100,10.2,10.2,20.6,20.6,303.2,0.9,2002.5,454410.9,18000.000640000002,38.91953751,-77.02777256,
2665,PM5007395,4108_0078,4108-0078,2014,In Compliance,2115 - 2119 BRYANT ST NE,INNOVATIVE RECYCLERS DC INC,5,WASHINGTON,DC,20018,1997,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,50418,50418.0,96,6.7,6.7,21.0,21.0,45.2,0.9,74.1,98955.0,,38.92087115,-76.97496317,
2666,PM4005338,2210_0007,Connecticut Plaza,2014,In Compliance,2331 CATHEDRAL AV NW,CATHCONN ASSOCIATES LP,3,WASHINGTON,DC,20008,1926,Multifamily Housing,Multifamily Housing,54786,54786.0,100,14.0,14.0,22.2,22.1,56.5,1.0,1328.6,57471.1,5704.621335,38.92825582,-77.05336390000001,
2667,PM3984618,2210_0010,Connecticut Plaza,2014,In Compliance,2901 CONNECTICUT AV NW,CATHCONN ASSOCIATES LP,3,WASHINGTON,DC,20008,1924,Multifamily Housing,Multifamily Housing,69329,69329.0,100,14.5,14.5,22.7,22.7,73.5,1.1,2553.2,73009.9,7558.48468,38.92834192,-77.05375059,
2668,PM4005427,2210_0011,Connecticut Plaza,2014,In Compliance,2915 CONNECTICUT AV NW,CATHCONN ASSOCIATES LP,3,WASHINGTON,DC,20008,1927,Multifamily Housing,Multifamily Housing,60596,60596.0,100,18.1,18.2,25.1,25.1,72.6,1.2,1805.7,51570.0,9234.748309999999,38.92867202,-77.05396394,
2669,PM4020144,0448_0111,McCollough Canaanland Apartments,2014,In Compliance,1202 - 1216 6TH ST NW,BISHOP S C MADISON TRUSTEE,6,WASHINGTON,DC,20001,1975,Multifamily Housing,Multifamily Housing,82800,82800.0,100,16.5,16.5,25.5,25.5,98.7,1.2,4810.7,94239.0,10469.30353,38.90665128,-77.02052369,
2670,PM3504818,PAR01730109,"Jemal's Premium, LLC",2014,In Compliance,3300 NEW YORK AV NE,JAMALS PREMIUM LLC,5,WASHINGTON,DC,20002,1959,Office,Office,75604,97158.0,100,8.6,8.6,27.0,27.0,111.8,1.2,25.3,244720.0,,38.91733518,-76.96038253,
2671,PM3540346,0096_0814,Bristol House,2014,In Compliance,1400 20TH ST NW,BRISTOL ASSOCIATES,2,WASHINGTON,DC,20036,1963,Multifamily Housing,Multifamily Housing,158375,158375.0,100,23.5,21.8,27.5,25.7,214.7,1.4,7356.7,61821.4,35108.79412,38.90899176,-77.04519953,
2672,PM3984805,2210_0001,2301 Connecticut Plaza,2014,In Compliance,2301 CATHEDRAL AV NW,CATHCONN ASSOCIATES LP,3,WASHINGTON,DC,20008,1923,Multifamily Housing,Multifamily Housing,51541,51541.0,100,19.2,19.2,27.7,27.7,67.6,1.3,1618.6,54918.3,8011.67196,38.92802439,-77.052803,
2673,PM4007393,5871_0145,Washington View Assoc #.2,2014,In Compliance,2657 - 2661 STANTON RD SE,WASHINGTON VIEW ASSOCIATES LLC,8,WASHINGTON,DC,20020,1967,Multifamily Housing,Multifamily Housing,88082,88082.0,100,22.2,22.2,28.3,28.3,120.7,1.4,4133.5,61734.2,17408.9243,38.85813085,-76.99082477,
2674,PM3515226,0245_0843,1301 Thomas Circle,2014,In Compliance,1301 M ST,CIRCLE PROPERTY CORPORTATION,2,WASHINGTON,DC,20005,2008,Multifamily Housing,Multifamily Housing,343585,339406.0,100,11.6,11.3,29.2,28.9,431.5,1.3,9020.1,809399.9,11640.00058,38.90602446,-77.03018249,
2675,PM4376458,0424_0027,McCollough Terrace Apartments,2014,In Compliance,1210 - 1220 7TH ST NW,UNITED HOUSE PRYR ALL PEOPLE CH RCK APOS,6,WASHINGTON,DC,20001,1991,Multifamily Housing,Multifamily Housing,85571,85571.0,100,11.3,11.3,29.9,30.0,111.1,1.3,6553.7,216742.0,2286.954006,38.90645407,-77.02223173,
2676,PM4358332,2910_7002,Georgia Avenue,2014,In Compliance,4100 GEORGIA AV,4100 GEORGIA AVE LIMITED PARTNERSHIP,,WASHINGTON,DC,,2009,Multifamily Housing,Multifamily Housing,75240,75240.0,100,10.0,10.0,31.5,31.5,101.0,1.3,3832.4,221103.6,,38.94101385,-77.02609268,
2677,PM4044593,1356_0857,The Palisade Apartments,2014,In Compliance,4540 MACARTHUR BLVD,PALISADES LLC,3,WASHINGTON,DC,20007,1954,Multifamily Housing,Multifamily Housing,56032,51800.0,100,10.2,10.2,32.1,32.1,71.0,1.4,1996.6,155346.4,,38.90868802,-77.08677503,
2678,PM2929580,0619_0176,Tyler House Associates 95 LP,2014,In Compliance,1200 NORTH CAPITOL ST NW,TYLER HOUSE ASSOCIATES 95 L.P.,6,WASHINGTON,DC,20002,1969,Multifamily Housing,Multifamily Housing,325984,325984.0,100,10.8,10.8,33.9,33.9,471.5,1.4,20607.0,1032265.2,,38.9060953,-77.01015693,
2679,PM3663542,3377E_0807,0662-Washington DC - Blair RD. N.w.,2014,In Compliance,6011 BLAIR RD NW,BLAIR STORAGE LLC,4,WASHINGTON,DC,20011,1990,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,51000,99564.0,74,13.2,13.0,34.6,34.5,149.6,1.5,4.0,290242.9,3201.00025,38.96325976,-77.010704,
2680,PM3286246,5926_0003,the overlook,2014,In Compliance,3700 9TH ST SE,PARKSIDE TERRACE DEVELOPMENT LLC,8,WASHINGTON,DC,20032,1968,Multifamily Housing,Multifamily Housing,319569,319569.0,100,13.6,13.2,37.2,36.5,513.5,1.6,7668.9,1024676.0,8568.873769,38.83566218,-76.99412145,
2681,PM4005952,0515N_0062,Square N515,2014,In Compliance,0442-0444 NEW YORK AV,SQUARE N515 ASSOCIATES LLC,6,WASHINGTON,DC,20001,2011,Multifamily Housing,Multifamily Housing,414571,337838.0,100,13.0,12.9,40.3,39.9,580.9,1.7,10377.0,1262311.4,809.5481846,38.90406551,-77.01728763,
