Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
PM3513627,0189_0060,Northumberland Apartments Inc,2017,Data Under Review by DOEE,2039 NEW HAMPSHIRE AVE NW,NORTHUMBERLAND APARTMENTS INC,1,WASHINGTON,DC,20009,1909,Multifamily Housing,Multifamily Housing,104390,104390,100,2.3,2.3,5.4,5.4,21.2,0.2,1876.6,43253.1,913.9483823,38.9178766,-77.03537261
PM3679816,0449_0059,McCollough Paradise Gardens Apartments,2017,Data Under Review by DOEE,1107 7TH ST NW,BISHOP S C MADISON TRUSTEE,6,WASHINGTON,DC,20001,1984,Multifamily Housing,Multifamily Housing,232208,235784,100,3.6,3.6,8.1,8.1,72.8,0.3,12981.7,141875,3600.755893,38.90548482,-77.02065954
PM5007395,4108_0078,4108-0078,2017,Data Under Review by DOEE,2115 BRYANT ST NE,INNOVATIVE RECYCLERS DC INC,5,WASHINGTON,DC,20018,1997,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,50418,50418,99,4.4,4.4,13.9,13.9,24.8,0.5,43.3,65563.3,NA,38.9209557,-76.97451402
PM3999186,3379_0820,6031 Kansas Ave NW - Kansas Ave DG,2017,Data Under Review by DOEE,6031 KANSAS AVE NW,KANSAS AVENUE DEVELOPMENT GROUP LLC,4,WASHINGTON,DC,20011,1900,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,71562,71562,98,9.7,10.8,14.7,15.8,45.8,0.6,115.4,44924.4,5418.449357,38.963088,-77.00921154
PM4060691,3058_0835,Cook Hall,2017,Data Under Review by DOEE,0511 FAIRMONT ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20059,1938,Residence Hall-Dormitory,Residence Hall-Dormitory,83444,83444,100,14,14.6,14.7,15.4,62.1,0.7,18565,171.3,11673.39237,38.92540864,-77.02170854
PM6286671,0914_0054,Capital East - 518,2017,Data Under Review by DOEE,518 9TH ST NE,CAPITAL EAST PARTNERS LLC,6,WASHINGTON,DC,20002,1927,Multifamily Housing,Multifamily Housing,54781,54781,100,9.3,9.2,24.4,24,49.3,0.9,2502.3,112183,1289.212483,38.89671308,-76.99399083
PM3663542,3377E_0807,0662-Washington DC - Blair RD. N.w.,2017,In Compliance,6011 BLAIR RD NW,EXTRA SPACE OF WASHINGTON DC BLAIR LLC,4,WASHINGTON,DC,20011,1990,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,51000,99564,83,11.7,12.7,27,28,102.3,1,66,204929,4663.000118,38.96321585,-77.01095087
PM3995408,3354_0026,Elevation 314,2017,Data Under Review by DOEE,314 CARROLL ST NW,TP2 LLC,4,WASHINGTON,DC,20012,2004,Multifamily Housing,Multifamily Housing,68000,68000,100,12.7,12.8,27.8,27.9,73,1.1,1591.5,138072.3,3898.100091,38.97489174,-77.01677983
PM4919501,5982_0049,Tech Prep High,2017,Data Under Review by DOEE,2705 MARTIN LUTHER KING JR AVE SE,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,8,WASHINGTON,DC,20032,2013,K-12 School,K-12 School,56351,142172,100,12.2,12.2,31.3,31.3,164.8,1.2,1961.7,370224.5,4643.748334,38.84830661,-76.99618817
PM4924642,0553_0844,Armstrong,2017,Data Under Review by DOEE,1400 1ST ST NW,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,5,WASHINGTON,DC,20001,1900,K-12 School,K-12 School,170227,170547,100,10,10,31.4,31.4,189.2,1.1,199.5,499908.3,NA,38.90941652,-77.01321464
PM3663625,0205_0058,"0776-Washington - U Street, NW",2017,In Compliance,1420 U ST NW,STORAGE PORTFOLIO LLC,2,WASHINGTON,DC,20009,1910,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,189805,101989,49,10.6,10.6,33.1,33.1,119.4,1.2,1712,315358,NA,38.91662939,-77.0329301
PM6278959,2849_0839,Trinity Towers Apartments LP,2017,Data Under Review by DOEE,3017 14TH ST NW,TRINITY TOWERS APARTMENTS LP,1,WASHINGTON,DC,20009,1929,Multifamily Housing,Multifamily Housing,101814,101814,100,11.3,11.3,35.4,35.4,127.5,1.3,6738,336774.6,NA,38.92817583,-77.03221407
