,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
165,PM3499931,0081_0096,State Plaza Hotel,2017,In Compliance,2117 E ST NW,SHERRY TOWERS APARTMENT HOTEL LP,2,WASHINGTON,DC,20037,1955,Hotel,Hotel,94139,291819.0,91,56.6,59.3,99.1,100.9,1197.2,4.1,11660.2,1622823.4,109748.3208,38.89638955,-77.04750319,
231,PM4548157,1192_0818,Georgetown Suites Harbour,2017,In Compliance,1000 29TH ST NW,29TH & K ASSOCIATES LP,2,WASHINGTON,DC,20007,1987,Hotel,Hotel,66678,62777.0,63,48.1,48.7,110.9,112.9,265.3,4.2,1284.0,532301.6,12015.02207,38.90292974,-77.05835994,
271,PM3762115,0484_0836,132-Hampton Inn - Washington DC,2017,In Compliance,0599 MASSACHUSETTS AV,HHLP DC CONVENTION CENTER ASSOCIATES LLC,6,WASHINGTON,DC,20001,2005,Hotel,Hotel,161193,172236.0,88,46.0,46.3,117.7,118.1,751.6,4.4,5281.0,1677462.7,21971.999780000002,38.90178752,-77.01965223,
305,PM5774418,0094_0031,Embassy Row Hotel,2017,In Compliance,2015 MASSACHUSETTS AVE NW,LEI AG -EMBASSY ROW LLC,2,WASHINGTON,DC,20036,1970,Hotel,Hotel,283088,280883.0,80,45.2,45.2,122.3,122.3,1255.8,4.5,6643.0,2946617.9,26455.09172,38.91073229,-77.04569239,
346,PM3524414,0211_0055,Mason & Rook Hotel,2017,In Compliance,1430  RHODE ISLAND AVE NW,LHO WASHINGTON HOTEL FOUR LLC,2,WASHINGTON,DC,20005,1965,Hotel,Hotel,125764,136576.0,88,62.1,62.7,127.3,125.9,685.3,5.0,5300.2,1188581.1,44318.178719999996,38.90808829,-77.03300732,
347,PM4021278,0072_0006,Best Western Georgetown Hotel and Suites,2017,In Compliance,1121 NEW HAMPSHIRE AVE NW,GEORGETOWN SUITES LLC,2,WASHINGTON,DC,20037,1989,Hotel,Hotel,55161,55161.0,57,51.1,51.6,127.3,127.7,262.0,4.8,19545.8,569211.8,8773.34046,38.90431077,-77.04795405,
367,PM5932679,0701_0171,Hampton Inn DC Navy Yard,2017,In Compliance,1263-1265  1ST ST SE,CAPITAL RIVERFRONT HOTEL LLC,6,WASHINGTON,DC,20003,2014,Hotel,Hotel,118944,118944.0,85,54.2,54.2,131.9,131.9,589.2,5.0,3065.4,1249440.7,21889.93405,38.87499467,-77.00619075,
397,PM4361120,4102_0248,Quality Inn and Suites,2017,In Compliance,1600 NEW YORK AV NE,"""44 WASHINGTON ASSOCIATES",5,WASHINGTON,DC,20002,1966,Hotel,Hotel,99217,99217.0,36,58.6,60.6,137.3,140.7,516.6,5.2,5882.4,1054344.1,22127.45452,38.91743261,-76.97997383,
408,PM5930328,0008_2881,The Watergate Hotel,2017,In Compliance,2650 VIRGINIA AVE NW,THE WATERGATE HOTEL CONDO,2,WASHINGTON,DC,20037,2009,Hotel,Hotel,163681,227000.0,99,58.0,58.0,138.3,138.3,1183.2,5.2,7794.8,2946148.5,31025.96977,38.89934259,-77.05582163,
429,PM4357717,0140_0086,Hotel RL Washington DC,2017,Data Under Review by DOEE,1823 L ST NW,L STREET HOTEL LLC,2,WASHINGTON,DC,20036,1965,Hotel,Hotel,84839,78744.0,35,66.0,64.9,141.1,137.5,478.4,6.1,5701.5,804596.0,3844.2095090000003,38.90398508,-77.04270844,
