,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
0,PM3513627,0189_0060,Northumberland Apartments Inc,2017,Data Under Review by DOEE,2039 NEW HAMPSHIRE AVE NW,NORTHUMBERLAND APARTMENTS INC,1,WASHINGTON,DC,20009,1909,Multifamily Housing,Multifamily Housing,104390,104390.0,100,2.3,2.3,5.4,5.4,21.2,0.2,1876.6,43253.1,913.9483822999999,38.9178766,-77.03537261,
1,PM3679816,0449_0059,McCollough Paradise Gardens Apartments,2017,Data Under Review by DOEE,1107 7TH ST NW,BISHOP S C MADISON TRUSTEE,6,WASHINGTON,DC,20001,1984,Multifamily Housing,Multifamily Housing,232208,235784.0,100,3.6,3.6,8.1,8.1,72.8,0.3,12981.7,141875.0,3600.755893,38.90548482,-77.02065954,
5,PM4178732,0594_0069,Greenleaf Extension,2017,Data Under Review by DOEE,1124 3RD ST SW,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,6,WASHINGTON,DC,20024,1965,Multifamily Housing,Multifamily Housing,,35992.0,100,10.4,11.3,17.6,18.3,26.5,0.7,669.5,33485.0,2600.9997559999997,38.87675727,-77.01494602,
6,PM6286671,0914_0054,Capital East - 518,2017,Data Under Review by DOEE,518 9TH ST NE,CAPITAL EAST PARTNERS LLC,6,WASHINGTON,DC,20002,1927,Multifamily Housing,Multifamily Housing,54781,54781.0,100,9.3,9.2,24.4,24.0,49.3,0.9,2502.3,112183.0,1289.212483,38.89671308,-76.99399083,
8,PM3995408,3354_0026,Elevation 314,2017,Data Under Review by DOEE,314 CARROLL ST NW,TP2 LLC,4,WASHINGTON,DC,20012,2004,Multifamily Housing,Multifamily Housing,68000,68000.0,100,12.7,12.8,27.8,27.9,73.0,1.1,1591.5,138072.3,3898.100091,38.97489174,-77.01677983,
12,PM6278959,2849_0839,Trinity Towers Apartments LP,2017,Data Under Review by DOEE,3017 14TH ST NW,TRINITY TOWERS APARTMENTS LP,1,WASHINGTON,DC,20009,1929,Multifamily Housing,Multifamily Housing,101814,101814.0,100,11.3,11.3,35.4,35.4,127.5,1.3,6738.0,336774.6,,38.92817583,-77.03221407,
14,PM2929580,0619_0176,Tyler House Associates 95 LP,2017,Data Under Review by DOEE,1200 NORTH CAPITOL ST NW,TYLER HOUSE ASSOCIATES 95 L.P.,6,WASHINGTON,DC,20002,1969,Multifamily Housing,Multifamily Housing,325984,325984.0,100,13.2,13.2,41.4,41.4,477.2,1.5,18315.6,1260677.8,,38.90640315,-77.00943607,
15,PM3639787,2059_0801,D,2017,Data Under Review by DOEE,3031 - 3041 SEDGEWICK ST NW,TILDEN GARDENS INC,3,WASHINGTON,DC,20008,1928,Multifamily Housing,Multifamily Housing,70108,65014.0,100,18.4,18.2,41.9,41.1,104.3,1.6,1040.3,205913.0,4955.733297,38.94010565,-77.06223546,
16,PM4053839,2934_0802,The Verona,2017,Data Under Review by DOEE,5601 13TH ST NW,5601 13TH STREET NW LLC,4,WASHINGTON,DC,20011,1955,Multifamily Housing,Multifamily Housing,70212,52680.0,100,31.1,32.3,41.9,43.2,100.6,1.9,6659.9,67925.2,14091.33159,38.95758108,-77.0289762,
17,PM3639752,2059_0006,HI,2017,Data Under Review by DOEE,3930 CONNECTICUT AV NW,TILDEN GARDENS INC,3,WASHINGTON,DC,20008,1928,Multifamily Housing,Multifamily Housing,91070,86928.0,100,17.7,17.7,42.5,42.5,139.3,1.6,1556.1,291414.0,5458.105919,38.94072492,-77.06171292,
