,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
2,PM5007395,4108_0078,4108-0078,2017,Data Under Review by DOEE,2115 BRYANT ST NE,INNOVATIVE RECYCLERS DC INC,5,WASHINGTON,DC,20018,1997,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,50418,50418.0,99,4.4,4.4,13.9,13.9,24.8,0.5,43.3,65563.3,,38.9209557,-76.97451402,
3,PM3999186,3379_0820,6031 Kansas Ave NW - Kansas Ave DG,2017,Data Under Review by DOEE,6031 KANSAS AVE NW,KANSAS AVENUE DEVELOPMENT GROUP LLC,4,WASHINGTON,DC,20011,1900,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,71562,71562.0,98,9.7,10.8,14.7,15.8,45.8,0.6,115.4,44924.4,5418.449357,38.963088,-77.00921154,
7,PM3663542,3377E_0807,0662-Washington DC - Blair RD. N.w.,2017,In Compliance,6011 BLAIR RD NW,EXTRA SPACE OF WASHINGTON DC BLAIR LLC,4,WASHINGTON,DC,20011,1990,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,51000,99564.0,83,11.7,12.7,27.0,28.0,102.3,1.0,66.0,204929.0,4663.000118,38.96321585,-77.01095087,
11,PM3663625,0205_0058,"0776-Washington - U Street, NW",2017,In Compliance,1420 U ST NW,STORAGE PORTFOLIO LLC,2,WASHINGTON,DC,20009,1910,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,189805,101989.0,49,10.6,10.6,33.1,33.1,119.4,1.2,1712.0,315358.0,,38.91662939,-77.0329301,
41,PM3468516,4359_0834,4359-0834,2017,In Compliance,2800 V ST NE,2800 V STREET LIMITED PARTNERSHIP,5,WASHINGTON,DC,20018,1956,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,267683,242810.0,80,25.4,27.5,58.6,61.1,542.0,2.2,349.3,1087068.8,24574.81965,38.92002084,-76.96901156,
44,PM4553078,5865_0286,GWC/GLC 12234/2600 BARRY RD SE/WASHINGTON/DC,2017,In Compliance,2600 BARRY RD SE,VERIZON WASHINGTON DC INC,8,WASHINGTON,DC,20020,1975,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,54578,56854.0,92,30.8,34.4,61.2,64.9,138.5,2.4,218.0,230066.0,9683.99996,38.86194579,-77.00031372,
57,PM3518921,0700_0044,26830-Washington DC/S. Capitol St SE,2017,In Compliance,1230 SOUTH CAPITOL ST SE,PUBLIC STORAGE INSTITUTE FUND,6,WASHINGTON,DC,20003,1991,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,108000,89999.0,16,33.6,37.2,67.0,71.1,239.6,2.7,42.0,400979.9,16530.00059,38.8755571,-77.00857516,
104,PM4632545,3368_0822,MFS CHILLUM LLC,2017,Data Under Review by DOEE,6501 - 6527 CHILLUM PL NW,MFS CHILLUM LLC,4,WASHINGTON,DC,20012,1966,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,157036,160000.0,52,41.4,44.1,86.7,89.6,543.1,3.4,1424.7,970329.9,33102.27119,38.96889541,-77.01215391,
317,PM6359141,4327_0803,Premium Distributors of Washington DC,2017,In Compliance,3500 FORT LINCOLN DR NE,FORT LINCOLN NEW TOWN/PREMIUM DISTRIBUTORS LLC,5,WASHINGTON,DC,20018,2001,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,148521,149000.0,51,47.4,48.9,123.6,124.8,679.8,4.6,308.7,1542981.8,18025.26007,38.92186519,-76.94915784,
392,PM2008136,3840_0023,T27 - Stone Straw Building,2017,In Compliance,900 FRANKLIN ST NE,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),5,WASHINGTON,DC,20017,1955,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,68656,69000.0,6,63.6,69.0,136.1,141.7,365.6,5.3,232.6,670279.9,20973.659369999998,38.9258326,-76.99325008,
