,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
13,PM6413618,3341_0812,Christian Media Corporation,2017,Data Under Review by DOEE,6200 2ND ST NW,NATIONAL CHILDRENS CENTER INC,4,WASHINGTON,DC,20011,1978,Office,Office,67199,67199.0,100,17.9,18.8,36.6,37.3,97.0,1.4,762.6,168115.2,6287.796557,38.96555994,-77.01396779999999,
23,PM4673452,0494_0031,National Square,2017,Data Under Review by DOEE,0500  D ST SW,BIT INVESTMENT FIFTY-EIGHT LLC,6,WASHINGTON,DC,20024,2015,Office,Office,361741,475932.0,100,14.8,14.8,46.4,46.4,780.0,1.6,3661.4,2060656.8,,38.88465388,-77.01940441,
33,PM3989484,0093_0146,Jemal's Dupont LLC,2017,Data Under Review by DOEE,1630 CONNECTICUT AVE NW,1630 CONNECTICUT LTD,2,WASHINGTON,DC,20009,1981,Office,Office,64517,73700.0,100,17.8,17.8,55.8,55.8,145.4,2.0,1189.5,384065.3,,38.91206182,-77.04524876,
38,PM6266005,1669_0805,Boron,2017,Data Under Review by DOEE,5025 WISCONSIN AV NW,AMALGAMATED TRANSIT UNION,3,WASHINGTON,DC,20016,1982,Office,Office,61217,75706.0,100,22.6,24.3,57.6,59.3,161.7,2.1,338.1,359207.0,4851.450212,38.95577157,-77.08275067,
61,PM3504833,1769_0031,"Jemal's Tower, LLC",2017,Data Under Review by DOEE,4001 BRANDYWINE ST NW,JEMAL'S TOWER LLC,3,WASHINGTON,DC,20016,1952,Office,Office,164868,110485.0,99,22.3,22.3,69.9,69.9,272.7,2.5,1715.7,720526.2,,38.95000411,-77.07938138,
70,PM1071901,0099_0053,2001 M Street,2017,In Compliance,2001 M ST NW,POST OFFICE BOX ASSOCIATES LLC,2,WASHINGTON,DC,20036,1987,Office,Office,387242,312115.0,98,24.1,24.1,75.6,75.6,833.5,2.7,2127.2,2202227.4,,38.90617559,-77.04525321,
93,PM4036707,2911_0004,Library of Congress,2017,Data Under Review by DOEE,1291 TAYLOR ST NW,PENN B RECREATION,4,WASHINGTON,DC,20542,1959,Office,Office,88808,93166.0,99,26.8,26.8,83.9,83.9,276.3,3.0,310.4,727664.4,159.3891065,38.94133892,-77.02849609,
94,PM3994437,5772_1019,Annacostia Professional building,2017,Data Under Review by DOEE,2041 MARTIN LUTHER KING JR AVE SE,ANACOSTIA PROFESSIONAL BUILDING REVOCABLE TRUST,8,WASHINGTON,DC,20020,1957,Office,Office,74967,74968.0,98,52.1,56.9,84.1,89.2,268.5,3.6,3177.0,309370.9,28509.970210000003,38.86593013,-76.98982866,
109,PM6279989,0090_0033,American Geophysical Union,2017,Data Under Review by DOEE,2000 FLORIDA AVE NW,AMERICAN GEOPHYSICAL UNION,2,WASHINGTON,DC,20009,1994,Office,Office,88150,71380.0,95,33.3,36.5,88.0,98.0,230.9,3.2,912.9,530683.6,5663.776642,38.91468757,-77.04525227,
158,PM3262071,0859_0837,609 H STREET,2017,Data Under Review by DOEE,601 H ST NE,609 H ST NE BLDG PJV LLC,6,WASHINGTON,DC,20002,1987,Office,Office,110281,77158.0,98,31.2,31.2,97.9,97.9,267.0,3.5,1378.4,705316.6,,38.90002407,-76.99782309999999,
160,PM3993733,0674_0854,"Sentinel Square II, LLC",2017,Data Under Review by DOEE,1050 1ST ST NE,SENTINEL SQUARE II L L C,6,WASHINGTON,DC,20002,2014,Office,Office,341600,280363.0,99,31.3,31.3,98.2,98.2,972.7,3.5,2276.8,2569995.1,,38.90344241,-77.00622308,
175,PM3989936,0218_0014,Jemal's Orme LLC,2017,In Compliance,1424 K ST NW,JEMAL'S ORME LLC,2,WASHINGTON,DC,20005,1910,Office,Office,51431,51400.0,94,43.7,47.6,100.6,104.6,197.2,3.8,1140.4,394215.7,9030.386595,38.90219791,-77.03293439,
206,PM3301503,0697_0045,Half Street,2017,In Compliance,1015 HALF ST SE,HALF STREET SE LLC,6,WASHINGTON,DC,20003,2011,Office,Office,400000,424076.0,97,33.6,33.6,105.5,105.5,1581.3,3.7,2729.8,4177759.3,,38.87822921,-77.00781299,
219,PM3353556,0403_0838,800 K Street,2017,Data Under Review by DOEE,0800 K ST NW,TMG 800 K STREET LLC,2,WASHINGTON,DC,20001,1989,Office,Office,495847,473143.0,98,34.8,34.8,109.4,109.4,1828.5,3.9,2350.5,4831031.1,,38.90180377,-77.02247845,
240,PM3048381,0140_0876,1819 L Street NW,2017,In Compliance,1819 L ST NW,SASAKAWA PEACE FOUNDATION,2,WASHINGTON,DC,20036,1982,Office,Office,70262,52873.0,90,35.9,35.9,112.6,112.6,210.3,4.0,452.0,555688.7,,38.90401049,-77.04246762,
241,PM3067027,0163_0051,UFCW Building,2017,In Compliance,1775 K ST NW,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,2,WASHINGTON,DC,20006,1969,Office,Office,214784,214784.0,96,38.0,38.3,113.0,113.3,867.8,4.0,2478.2,2202556.4,6425.2261530000005,38.90288991,-77.04127548,
256,PM1641990,0126_0852,The Farragut Building,2017,In Compliance,0900 17TH ST NW,GNAREI 1 FARRAGUT LLC,2,WASHINGTON,DC,20006,1962,Office,Office,200034,160109.0,96,43.8,45.9,115.0,116.7,678.1,4.2,3352.7,1551298.3,17130.16649,38.90174323,-77.03974025,
258,PM2977909,0574_0810,National Association of Letter Carriers,2017,In Compliance,100 INDIANA AVE NW,NATIONAL ASSOCIATION OF LETTER CARRIERS,6,WASHINGTON,DC,20001,1951,Office,Office,101093,87757.0,87,44.9,46.5,115.2,115.6,374.3,4.3,1239.8,837487.4,10794.13528,38.89333317,-77.01252649,
266,PM1229423,0185_0829,Army Navy Club,2017,In Compliance,1627 I ST NW,WRIT ANC LLC,2,WASHINGTON,DC,20006,1913,Office,Office,80599,118244.0,91,37.4,37.4,117.4,117.4,490.6,4.1,5113.8,1296166.9,,38.90172986,-77.03813748,
272,PM2938280,0100_0103,American Society of Hematology Building,2017,In Compliance,2021 L ST NW,ASH 2021 L LLC,2,WASHINGTON,DC,20036,1969,Office,Office,77376,81032.0,93,41.4,42.6,117.8,118.7,344.9,4.3,454.3,844106.0,4784.214805,38.90402145,-77.04565168,
282,PM1189000,0538_0873,One Independence Square,2017,Data Under Review by DOEE,250 E ST SW,WELLS REIT-INDEPENDENCE SQUARE LLC,6,WASHINGTON,DC,20024,1991,Office,Office,560163,378045.0,95,37.9,37.9,119.0,119.0,1588.9,4.2,3156.7,4197906.1,,38.88300325,-77.01492370000001,
283,PM3989931,0185_0823,City Building - 1612 K Street,2017,In Compliance,1612 K ST NW,LEAF LLC,2,WASHINGTON,DC,20006,1958,Office,Office,83495,79495.0,94,42.9,43.2,119.1,117.4,344.0,4.3,1128422.4,825928.6,5908.49099,38.90219141,-77.03753001,
290,PM1191010,0166_0032,1701 Pennsylvania Ave.,2017,Data Under Review by DOEE,1701 PENNSYLVANIA AV NW,ATLANTIC FREEHOLDS,2,WASHINGTON,DC,20006,1962,Office,Office,263216,220603.0,76,51.7,53.0,120.1,120.4,1005.3,4.6,180976.0,2431888.3,31002.784610000002,38.89950761,-77.03977867,
296,PM19680,0213_0017,The National Housing Center Corporation,2017,Data Under Review by DOEE,1201 15TH ST NW,NATIONAL HOUSING CENTER CORPORATION,2,WASHINGTON,DC,20005,1973,Office,Office,125815,279791.0,81,48.6,49.9,120.9,121.5,1260.5,4.5,2493.9,3275614.3,24133.06013,38.90602078,-77.03397505,
299,PM3685967,0222_0024,1401 New York Ave,2017,Data Under Review by DOEE,1401 NEW YORK AVE NW,LSREF2 WINDMILL REO NEW YORK LLC,2,WASHINGTON,DC,20005,1982,Office,Office,278364,231140.0,90,38.7,38.7,121.5,121.5,991.8,4.3,3145.1,2620246.0,,38.89965,-77.03229744,
300,PM1368706,0118_0818,1901 Pennsylvania Ave,2017,In Compliance,1901 PENNSYLVANIA AVE NW,WASHREIT 1901 PENNSYLVANIA AVE TRUSTEE LLC,2,WASHINGTON,DC,20006,1960,Office,Office,113200,109909.0,94,43.2,43.9,121.7,121.9,484.3,4.4,1442.5,1177940.3,7243.843836,38.90068906,-77.04379751,
301,PM3306991,0185_0812,"1600 K St., NW",2017,In Compliance,1600 K ST NW,1600 CAPITAL ASSOCIATES LLC,2,WASHINGTON,DC,20006,1950,Office,Office,89511,93176.0,92,43.6,44.4,121.7,122.2,411.3,4.4,2021.0,992179.8,6736.999901,38.90213964,-77.03687333,
304,PM3511931,0330_0800,HU Service Building,2017,In Compliance,1000 FLORIDA AV NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20001,1930,Office,Office,218339,233173.0,95,61.3,67.7,122.3,127.2,1132.6,4.9,6469.3,1895870.1,78142.53211,38.92009841,-77.02631092,
