Primary_Property_Type_EPA_Calculated,Weather_Normalized_Site_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e
Multifamily Housing,2.3,5.4,21.2
Multifamily Housing,3.6,8.1,72.8
Non-Refrigerated Warehouse,4.4,13.9,24.8
Non-Refrigerated Warehouse,10.8,15.8,45.8
Residence Hall/Dormitory,14.6,15.4,62.1
Multifamily Housing,11.3,18.3,26.5
Multifamily Housing,9.2,24,49.3
Non-Refrigerated Warehouse,12.7,28,102.3
Multifamily Housing,12.8,27.9,73
K-12 School,12.2,31.3,164.8
K-12 School,10,31.4,189.2
Non-Refrigerated Warehouse,10.6,33.1,119.4
Multifamily Housing,11.3,35.4,127.5
Office,18.8,37.3,97
Multifamily Housing,13.2,41.4,477.2
Multifamily Housing,18.2,41.1,104.3
Multifamily Housing,32.3,43.2,100.6
Multifamily Housing,17.7,42.5,139.3
Multifamily Housing,27.3,44.5,200.5
Multifamily Housing,25.5,46.2,255.3
Multifamily Housing,18.8,43.1,128.4
Multifamily Housing,23.1,46.3,261
Multifamily Housing,17.3,46.1,712.8
Office,14.8,46.4,780
Multifamily Housing,28.7,50.4,465.3
Multifamily Housing,18.9,51.8,145.6
Residence Hall/Dormitory,22.2,53.5,195.5
Multifamily Housing,40.6,53.9,122.3
Multifamily Housing,20.2,53.3,484
Multifamily Housing,38.3,53.8,480.4
Multifamily Housing,39.3,57.1,561
Multifamily Housing,18.4,57.6,213.1
Multifamily Housing,44.1,60.4,215.7
Office,17.8,55.8,145.4
Multifamily Housing,37.7,58.6,304.8
Multifamily Housing,44.9,60.6,128.4
Multifamily Housing,18.2,55.6,108.5
Multifamily Housing,34.2,56.8,639.5
Office,24.3,59.3,161.7
Multifamily Housing,24.6,58.4,120.1
Multifamily Housing,21.3,55.9,183.1
Non-Refrigerated Warehouse,27.5,61.1,542
K-12 School,35,60.2,187.1
Multifamily Housing,48.3,65.6,157.6
Non-Refrigerated Warehouse,34.4,64.9,138.5
Multifamily Housing,28.4,63.3,146.2
Multifamily Housing,20.9,62.9,127.8
K-12 School,34.6,62.2,169.1
Multifamily Housing,21.8,68.4,120.4
Multifamily Housing,22.5,63.8,664.9
Multifamily Housing,43.6,68,141.3
Multifamily Housing,38.7,65,1146.6
Multifamily Housing,42.7,68.4,141.1
Multifamily Housing,24.7,65.8,548.9
Multifamily Housing,33.7,65.5,361.7
Multifamily Housing,44,68.8,173
Multifamily Housing,51.1,71.2,352.5
