,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
4,PM4060691,3058_0835,Cook Hall,2017,Data Under Review by DOEE,0511 FAIRMONT ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20059,1938,Residence Hall-Dormitory,Residence Hall-Dormitory,83444,83444.0,100,14.0,14.6,14.7,15.4,62.1,0.7,18565.0,171.3,11673.39237,38.92540864,-77.02170854,
26,PM5927578,2208_0810,"LMG 2807, LLC",2017,Data Under Review by DOEE,2807 CONNECTICUT AV NW,LMG 2807 LLC,3,WASHINGTON,DC,20008,1924,Residence Hall-Dormitory,Residence Hall-Dormitory,53088,100000.0,98,21.7,22.2,51.8,53.5,195.5,2.0,2939.2,407598.3,7755.925029999999,38.92728405,-77.05326193,
72,PM4557166,3058_0835,Howard Manor,2017,Data Under Review by DOEE,0511 FAIRMONT ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20059,1938,Residence Hall-Dormitory,Residence Hall-Dormitory,83444,75000.0,92,25.0,25.0,78.5,78.5,208.1,2.8,1089.2,549850.8,,38.92540864,-77.02170854,
217,PM1419320,0080_0825,Guthridge Hall,2017,In Compliance,2115 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1926,Residence Hall-Dormitory,Residence Hall-Dormitory,64899,68372.0,82,54.4,56.9,108.8,109.4,295.3,4.3,2737.9,496242.6,20229.252230000002,38.89764515,-77.04745411,
259,PM4527772,3058_0834,Howard University College Hall South,2017,Data Under Review by DOEE,0654 GIRARD ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20001,2014,Residence Hall-Dormitory,Residence Hall-Dormitory,65892,254983.0,71,36.7,36.7,115.3,115.3,1038.8,4.1,16092.3,2744544.9,,38.92569701,-77.02220838,
298,PM1454748,0569_0865,Gewirz Residence Building,2017,In Compliance,0120 F ST NW,GEORGETOWN UNIVERSITY,6,WASHINGTON,DC,20001,1992,Residence Hall-Dormitory,Residence Hall-Dormitory,242228,225264.0,67,48.1,49.5,121.5,122.2,1017.9,4.5,5878.6,2240089.8,32021.300689999996,38.89689525,-77.01338916,
336,PM1946550,1600_0001,Nebraska Hall,2017,Data Under Review by DOEE,4400 MASSACHUSETTS AV NW,AMERICAN UNIVERSITY,3,WASHINGTON,DC,20016,1980,Residence Hall-Dormitory,Residence Hall-Dormitory,1452667,106453.0,74,69.0,68.4,125.8,125.6,567.6,5.3,3847.4,774370.9,,38.93908921,-77.08691058,
345,PM3990149,0466_0841,St Dominic Church and Priory,2017,In Compliance,0630 E ST SW,SAINT DOMINIC'S CATHOLIC CHURCH,6,WASHINGTON,DC,20024,1961,Residence Hall-Dormitory,Residence Hall-Dormitory,59784,59784.0,53,70.0,76.7,127.2,131.8,311.1,5.2,2981.8,449439.9,26537.491169999998,38.88298827,-77.02090702,
371,PM3506518,PAR01200034,CH - Cuvilly Hall,2017,Data Under Review by DOEE,125 MICHIGAN AVE NE,TRINITY COLLEGE,5,WASHINGTON,DC,20017,1964,Residence Hall-Dormitory,Residence Hall-Dormitory,482879,71168.0,72,83.2,93.0,132.5,142.4,403.5,5.7,1858.4,450355.2,43879.14168,38.92832361,-77.00220432,
386,PM4527762,3058_0834,Howard University College Hall North,2017,Data Under Review by DOEE,0654 GIRARD ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20001,1950,Residence Hall-Dormitory,Residence Hall-Dormitory,65892,138829.0,64,42.9,42.9,134.8,134.8,661.1,4.8,7052.4,1746642.5,,38.92569701,-77.02220838,
388,PM1419714,0103_0001,Francis Scott Key Hall,2017,In Compliance,600 20TH ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1910,Residence Hall-Dormitory,Residence Hall-Dormitory,62271,61135.0,69,76.2,84.3,135.2,142.6,340.8,5.6,2179.0,473023.1,30456.01184,38.89764371,-77.04518683,
433,PM3668050,0774_0058,TWC Residential Academic Facility,2017,In Compliance,1005 3RD ST NE,THE WASHINGTON CENTER FOR INTERNSHIPS AND ACADEMIC SEMINARS,6,WASHINGTON,DC,20002,2010,Residence Hall-Dormitory,Residence Hall-Dormitory,140908,140908.0,55,54.5,53.7,141.4,139.0,736.2,5.2,5820.7,1663751.1,20055.112559999998,38.90317456,-77.00160464,
437,PM1415246,0081_0846,Dakota,2017,In Compliance,2100 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1989,Residence Hall-Dormitory,Residence Hall-Dormitory,69402,70389.0,67,63.7,65.5,142.7,143.9,387.1,5.5,719.7,745537.4,18008.01242,38.89709827,-77.04695599,
451,PM1030402,0042_0054,Amsterdam Hall,2017,In Compliance,2350 H ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1997,Residence Hall-Dormitory,Residence Hall-Dormitory,165390,129562.0,67,66.3,70.0,144.3,148.2,724.2,5.6,6872.6,1357187.8,39624.205219999996,38.899322399999996,-77.05091838,
490,PM3512980,2873_1101,Howard Tower Plaza,2017,In Compliance,2251 SHERMAN AVE NW,HOWARD UNIVERSITY,1,WASHINGTON,DC,20001,1988,Residence Hall-Dormitory,Residence Hall-Dormitory,520000,573687.0,62,67.8,71.8,150.7,155.4,3328.5,5.8,23430.2,6392818.5,171115.6155,38.92041853,-77.02379153,
535,PM3632510,0182_0083,The University of California Washington Center,2017,In Compliance,1608 RHODE ISLAND AVE NW,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2,WASHINGTON,DC,20036,2001,College/University,Residence Hall-Dormitory,184556,158819.0,45,67.9,70.0,157.3,157.5,950.6,6.0,5545.6,1917446.8,42339.91463,38.90651258,-77.03738575,
578,PM3508507,PAR01200034,KH - Kerby Hall,2017,In Compliance,125 MICHIGAN AVE NE,TRINITY COLLEGE,5,WASHINGTON,DC,20017,1965,Residence Hall-Dormitory,Residence Hall-Dormitory,482879,51980.0,57,95.1,103.3,163.7,172.5,354.4,6.8,8575.1,465507.0,33556.92648,38.92832361,-77.00220432,
584,PM1032878,0057_0055,Townhouse Row,2017,In Compliance,607 23RD ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,2003,Residence Hall-Dormitory,Residence Hall-Dormitory,71224,69267.0,53,70.2,70.5,164.8,162.2,432.9,6.2,1756.9,884438.2,18470.52863,38.89785017,-77.0498593,
605,PM1419790,0072_0007,Aston,2017,In Compliance,1129 NEW HAMPSHIRE AVE NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20037,1965,Residence Hall-Dormitory,Residence Hall-Dormitory,104970,70625.0,55,73.7,76.2,167.1,169.7,451.7,6.4,2090.4,887883.0,21774.89665,38.90445719,-77.04788798,
661,PM1327534,0103_0042,Potomac House,2017,In Compliance,2021 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,2006,Residence Hall-Dormitory,Residence Hall-Dormitory,129014,100127.0,50,81.3,83.0,175.9,175.0,683.2,6.8,5657.3,1271224.1,38045.81703,38.89758612,-77.04554957,
795,PM1415263,0043_0026,Shenkman Hall,2017,In Compliance,616 23RD ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20037,2003,Residence Hall-Dormitory,Residence Hall-Dormitory,327530,283531.0,31,84.0,84.1,201.9,200.1,2156.2,7.6,10898.1,4521006.6,83756.38283,38.89794615,-77.05040603,
860,PM2494497,1374_0850,West Hall,2017,Data Under Review by DOEE,2100 FOXHALL RD NW,THE GEORGE WASHINGTON UNIVERSITY,3,WASHINGTON,DC,20007,1970,Residence Hall-Dormitory,Residence Hall-Dormitory,271712,139591.0,21,100.2,102.3,221.9,221.9,1193.5,8.6,6164.5,2283584.3,61981.25485,38.91891606,-77.0891125,
881,PM3977161,1222_0062,LXR,2017,In Compliance,3515 PROSPECT ST NW,GEORGETOWN UNIVERSITY,2,WASHINGTON,DC,20007,1958,Residence Hall-Dormitory,Residence Hall-Dormitory,238595,209093.0,26,124.2,123.8,228.3,226.9,2104.2,10.1,9472.7,2496109.7,,38.90654808,-77.06922082,
901,PM2266003,0080_0056,South Hall,2017,In Compliance,2135 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20037,2009,Residence Hall-Dormitory,Residence Hall-Dormitory,184320,214829.0,21,120.4,122.7,238.6,238.2,2040.5,9.5,8960.1,3376773.7,143538.4243,38.89753831,-77.04812679999999,
923,PM1030454,1374_0850,Somers Hall,2017,Data Under Review by DOEE,2100 FOXHALL RD NW,THE GEORGE WASHINGTON UNIVERSITY,3,WASHINGTON,DC,20007,1970,Residence Hall-Dormitory,Residence Hall-Dormitory,271712,74541.0,19,107.8,109.8,254.7,251.1,718.5,9.6,3020.3,1478979.5,29881.67073,38.91891606,-77.0891125,
1039,PM4060691,3058_0835,Cook Hall,2016,In Compliance,0511 FAIRMONT ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20059,1938,Residence Hall-Dormitory,Residence Hall-Dormitory,83444,83444.0,100,14.7,15.2,15.5,16.0,65.3,0.8,17017.2,178.5,12285.25738,38.92540864,-77.02170854,
1098,PM4527772,3069_0066,Howard University College Hall South,2016,In Compliance,2205 4TH ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20059,2014,Residence Hall-Dormitory,Residence Hall-Dormitory,229497,254983.0,88,26.4,25.4,82.9,79.7,772.0,3.0,12761.8,1972946.8,,38.91976453,-77.01764635,
1108,PM4527762,3058_0834,Howard University College Hall North,2016,In Compliance,0654 GIRARD ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20001,1950,Residence Hall-Dormitory,Residence Hall-Dormitory,65892,138829.0,89,27.6,27.6,86.6,86.6,438.9,3.2,7032.4,1121657.9,,38.92569701,-77.02220838,
1123,PM3630382,3084_0830,Carver Hall,2016,In Compliance,0211 ELM ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20001,1942,Residence Hall-Dormitory,Residence Hall-Dormitory,52598,58567.0,90,50.9,52.9,91.4,93.4,223.8,3.8,3407.1,311500.0,19187.90096,38.91794486,-77.01502038,
1148,PM1416427,0055_0855,Munson Hall,2016,Data Under Review by DOEE,2212 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1939,Residence Hall-Dormitory,Residence Hall-Dormitory,81153,49662.0,88,43.4,42.8,97.5,95.0,190.4,3.8,2102.9,362108.3,9179.32719,38.90050729,-77.04940776,
1226,PM1419320,0080_0825,Guthridge Hall,2016,In Compliance,2115 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1926,Residence Hall-Dormitory,Residence Hall-Dormitory,64899,68372.0,81,60.3,61.1,118.4,117.6,330.0,4.8,3824.5,528335.2,23210.870909999998,38.89764515,-77.04745411,
1239,PM3630297,3088_0835,Slowe Hall,2016,In Compliance,1919 3RD ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20001,1941,Residence Hall-Dormitory,Residence Hall-Dormitory,87251,93711.0,78,61.0,62.3,120.4,121.8,459.0,4.9,1950.3,740499.0,31868.360060000003,38.91680813,-77.01548852,
1240,PM1454748,0569_0865,Gewirz Residence Building,2016,In Compliance,0120 F ST NW,GEORGETOWN UNIVERSITY,6,WASHINGTON,DC,20001,1992,Residence Hall-Dormitory,Residence Hall-Dormitory,242228,225264.0,72,47.7,48.3,120.5,120.2,1037.8,4.6,6437.7,2223313.9,31602.398080000003,38.89689525,-77.01338916,
1301,PM3506518,PAR01200034,CH - Cuvilly Hall,2016,In Compliance,125 MICHIGAN AVE NE,TRINITY COLLEGE,5,WASHINGTON,DC,20017,1964,Residence Hall-Dormitory,Residence Hall-Dormitory,482879,71168.0,76,85.0,88.1,133.3,135.9,413.6,5.8,2564.3,439173.3,45523.47919,38.92832361,-77.00220432,
