,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
173,PM3389780,0288_0847,(71068A) METRO CENTER Macy's,2017,In Compliance,1201 G ST NW,MACY'S RETAIL HOLDINGS INC,2,WASHINGTON,DC,20005,1985,Retail Store,Retail Store,215108,272371.0,92,31.9,31.8,100.0,100.0,962.7,3.5,2168.9,2543367.2,,38.89871274,-77.02839264,
286,PM4742799,1580_0033,6008-Washington,2017,In Compliance,5255 WESTERN AVE NW,MAZZA FAMILY FRIENDSHIP HEIGHTS LLC,3,WASHINGTON,DC,20015,1965,Retail Store,Retail Store,146676,147917.0,82,50.3,53.9,119.6,123.3,668.5,4.5,1683.0,1386358.8,27063.99908,38.95861408,-77.08776467,
647,PM3481081,3854_0801,#2583 NE Washington DC,2017,In Compliance,901 RHODE ISLAND AVE NE,HOME DEPOT USA INC,5,WASHINGTON,DC,20018,2004,Retail Store,Retail Store,116752,128914.0,67,67.8,68.8,174.1,172.4,831.1,6.4,2079.1,1861102.5,23854.209580000002,38.92086804,-76.99082178,
690,PM2986561,2674_1933,Unit Owners Association of DC USA Condo inc,2017,In Compliance,3100 14TH ST NW,DC USA CONDOMINIUM,1,WASHINGTON,DC,20010,2009,Retail Store,Retail Store,918669,445917.0,85,62.9,63.4,180.9,181.4,2906.6,6.5,9543.9,7181961.1,35436.77545,38.92930823,-77.03298601,
984,PM3512639,1661_0855,Friendship Center,2017,In Compliance,5333 WISCONSIN AV NW,STREET RETAIL INC,3,WASHINGTON,DC,20015,1998,Retail Store,Retail Store,86379,118705.0,22,114.5,114.5,308.5,308.5,1340.1,11.3,3713.4,3133439.5,29018.224060000004,38.95976571,-77.08456628,
1179,PM3389780,0288_0847,(71068A) METRO CENTER Macy's,2016,In Compliance,1201 G ST NW,MACY'S RETAIL HOLDINGS INC,2,WASHINGTON,DC,20005,1985,Retail Store,Retail Store,215108,272371.0,94,33.8,33.4,106.1,105.0,1055.8,3.9,2486.9,2698297.9,,38.89871274,-77.02839264,
1466,PM2986561,2674_1933,Unit Owners Association of DC USA Condo inc,2016,In Compliance,3100 14TH ST NW,DC USA CONDOMINIUM,1,WASHINGTON,DC,20010,2009,Retail Store,Retail Store,918669,445917.0,89,58.2,58.1,166.8,165.9,2765.7,6.2,16971.8,6609204.8,33809.60849,38.92930823,-77.03298601,
1567,PM3481081,3854_0801,#2583 NE Washington DC,2016,In Compliance,901 RHODE ISLAND AVE NE,HOME DEPOT USA INC,5,WASHINGTON,DC,20018,2004,Retail Store,Retail Store,116752,128914.0,64,77.2,77.7,186.7,184.7,929.6,7.2,1372.0,1909794.1,34321.37956,38.92086804,-76.99082178,
1805,PM3512639,1661_0855,Friendship Center,2016,In Compliance,5333 WISCONSIN AV NW,STREET RETAIL INC,3,WASHINGTON,DC,20015,1998,Retail Store,Retail Store,86379,118705.0,20,121.8,120.7,325.2,320.4,1457.8,12.3,3156.1,3284799.6,32476.15667,38.95976571,-77.08456628,
1979,PM3389780,0288_0847,(71068A) METRO CENTER,2015,In Compliance,1201 G ST NW,MACYS RETAIL HOLDINGS INC,2,Washington,DC,20005,1985,Retail Store,Retail Store,215108,272371.0,94,33.8,33.3,106.2,104.7,1232.9,4.5,2473.6,2699355.5,,38.89871274,-77.02839264,
