,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
989,PM1753828,5912_0818,0384 Washington,2017,Data Under Review by DOEE,1535 ALABAMA AVE SE,CHR LLC,8,WASHINGTON,DC,20032,2007,Supermarket-Grocery Store,Supermarket-Grocery Store,64945,68935.0,99,141.5,147.8,323.4,330.0,851.5,12.4,1652.1,1690124.7,39867.22629,38.84496392,-76.98099934,
996,PM3991514,5912_0818,The Shops at Park Village CHR LLC,2017,Data Under Review by DOEE,1535 ALABAMA AVE SE,CHR LLC,8,WASHINGTON,DC,20032,2007,Supermarket-Grocery Store,Supermarket-Grocery Store,64945,64945.0,89,149.6,155.7,340.9,347.2,846.3,13.0,3284.0,1673244.8,40095.45158,38.84496392,-76.98099934,
1012,PM1244899,3854_0802,0375 Washington,2017,In Compliance,1050 BRENTWOOD RD NE,1050 BRENTWOOD CAPITAL LP,5,WASHINGTON,DC,20018,2002,Supermarket-Grocery Store,Supermarket-Grocery Store,53236,53045.0,84,179.4,184.0,467.6,472.4,915.2,17.3,1710.4,2077103.6,24299.1638,38.91922981,-76.99243094,
1016,PM4135125,0776_4111,2381 Washington,2017,In Compliance,300 - 380 H ST NE,3RD_H STREET CONDO,6,WASHINGTON,DC,20002,2013,Supermarket-Grocery Store,Supermarket-Grocery Store,282163,42469.0,82,201.3,205.2,562.7,566.9,866.8,20.4,899.3,2092443.6,14084.13699,38.90043782,-77.00077986,
1019,PM4752062,1299_1040,Safeway 2912 - Wisconsin Ave,2017,In Compliance,1855  WISCONSIN AVE NW,NAI SATURN EASTERN LLC,2,WASHINGTON,DC,20007,2010,Supermarket-Grocery Store,Supermarket-Grocery Store,60000,71067.0,69,188.6,188.7,590.7,590.8,1483.9,20.9,2346.6,3913779.7,484.9639807,38.91612589,-77.06756091,
1021,PM4798782,2974_0020,Safeway 1276 - Piney Branch Rd,2017,In Compliance,6500 PINEY BRANCH RD NW,NAI SATURN EASTERN LLC,4,WASHINGTON,DC,20012,1964,Supermarket-Grocery Store,Supermarket-Grocery Store,51654,51827.0,66,221.0,224.7,592.4,593.9,1124.9,21.7,1828.2,2618999.6,25154.798280000003,38.9695284,-77.02655062,
1025,PM1241296,2049_0805,0383 Washington,2017,In Compliance,4301 CONNECTICUT AV NW,VAN NESS CENTER ASSOCITES LLC,3,WASHINGTON,DC,20008,1930,Supermarket-Grocery Store,Supermarket-Grocery Store,239464,33360.0,20,276.5,281.2,711.6,711.0,878.7,26.3,616538.3,1971029.4,24986.68496,38.94493214,-77.06311116,
1031,PM4020027,0210_0128,1440 P Street,2017,Data Under Review by DOEE,1440 P ST NW,S J GERSTENFELD,2,WASHINGTON,DC,20005,1999,Supermarket-Grocery Store,Supermarket-Grocery Store,81306,39000.0,15,270.4,266.9,849.2,838.1,1170.0,30.0,5286654.5,3091156.0,,38.90949911,-77.03356775,
1816,PM1753828,5912_0818,0384 Washington,2016,In Compliance,1535 ALABAMA AVE SE,CHR LLC,8,WASHINGTON,DC,20032,2007,Supermarket-Grocery Store,Supermarket-Grocery Store,64945,68935.0,95,165.7,168.6,408.1,411.2,1082.2,15.7,1711.9,2263595.5,36987.83892,38.84496392,-76.98099934,
1823,PM4134797,0398_0836,2376 Washington,2016,In Compliance,1400 7TH ST NW,CITYMARKET AT O EAST AND WEST LLC,6,WASHINGTON,DC,20001,2013,Supermarket-Grocery Store,Supermarket-Grocery Store,56090,66909.0,100,177.7,175.9,495.5,490.0,1240.3,18.5,1581.6,2898468.9,19987.39195,38.90877072,-77.02212531,
