,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
431,PM3514565,3582_0802,DCAA,2017,In Compliance,1501 ECKINGTON PL NE,FEDERAL EXPRESS CORPORATION,5.0,WASHINGTON,DC,20002.0,1990,Distribution Center,Distribution Center,208650.0,210000.0,53,68.3,76.2,141.3,150.7,1166.0,5.6,687.5,2049594.1,73472.20999,38.90995797,-77.00394363
633,PM4360735,5096_0826,Republic NAtional Distributing,2017,In Compliance,4235 SHERIFF RD NE,REPUBLIC NATL DISTRIBUTING COMPANY LLC,7.0,WASHINGTON,DC,20019.0,1969,Distribution Center,Distribution Center,146331.0,86352.0,2,74.5,73.9,171.4,169.6,564.4,6.5,1068.9,1128799.9,25818.00339,38.90232333,-76.94079534
1482,PM4360735,5096_0826,Republic NAtional Distributing,2016,In Compliance,4235 SHERIFF RD NE,REPUBLIC NATL DISTRIBUTING COMPANY LLC,7.0,WASHINGTON,DC,20019.0,1969,Distribution Center,Distribution Center,146331.0,86352.0,3,73.6,75.2,169.8,170.3,572.9,6.6,1119.1,1119199.9,25408.702230000003,38.90232333,-76.94079534
2057,PM4371687,4371_0819,The Goodwill Building,2015,In Compliance,2200 SOUTH DAKOTA AVE NE,2200 SOUTH DAKOTA AVE LLC,5.0,Washington,DC,20018.0,1982,Distribution Center,Distribution Center,93480.0,89900.0,64,47.7,48.1,125.2,125.7,488.8,5.4,659.7,947731.7,10520.12319,38.9200201,-76.95849178
2251,PM4360735,5096_0826,Republic NAtional Distributing,2015,In Compliance,4235 SHERIFF RD NE,REPUBLIC NATL DISTRIBUTING COMPANY LLC,7.0,Washington,DC,20019.0,1969,Distribution Center,Distribution Center,146331.0,86352.0,7,77.5,77.5,170.7,170.7,653.4,7.6,1716.7,1081919.9,29983.20275,38.90232333,-76.94079534
2740,PM4402420,PAR01290095,Washington Cash & Carry,2014,In Compliance,1270 4TH ST NE,1250 4TH ST EDENS LLC,5.0,WASHINGTON,DC,20002.0,1955,Distribution Center,Distribution Center,56463.0,57000.0,25,33.8,33.3,94.4,92.5,232.0,4.1,154.9,470243.2,3242.058889,38.90883981,-76.99973505
2754,PM4360735,5096_0826,Republic NAtional Distributing,2014,In Compliance,4235 SHERIFF RD NE,REPUBLIC NATL DISTRIBUTING COMPANY LLC,7.0,WASHINGTON,DC,20019.0,1969,Distribution Center,Distribution Center,155000.0,86352.0,35,86.6,86.6,99.1,99.1,424.5,4.9,1762.1,98442.0,71449.9999,38.90206989,-76.94085609
2841,PM3670227,4327_0803,Premium Distributors of WDC,2014,In Compliance,3500 FORT LINCOLN DR,FORT LINCOLN NEW TOWN/PREMIUM DISTRIBUTORS LLC,5.0,WASHINGTON,DC,20018.0,2001,Distribution Center,Distribution Center,148521.0,148521.0,57,39.9,39.7,125.2,124.8,678.9,4.6,586.3,1735164.6,,38.92228523,-76.94842732
2907,PM4371687,4371_0819,The Goodwill Building,2014,In Compliance,2200 SOUTH DAKOTA AV,2200 SOUTH DAKOTA AVE LLC,5.0,WASHINGTON,DC,20018.0,1982,Distribution Center,Distribution Center,93480.0,89900.0,50,56.7,55.9,145.7,143.5,570.0,6.3,1344.4,1085544.2,13974.16515,38.91982892,-76.95949064
3336,PM3470720,4371_0001,4371-0001,2014,In Compliance,3300 V ST NE,SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP,5.0,WASHINGTON,DC,20018.0,1950,Distribution Center,Distribution Center,100200.0,103000.0,1,139.2,136.6,367.5,363.5,1642.2,15.9,335.9,3195884.7,34363.00114,38.91901817,-76.96011348
