,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
887,PM3619488,3075_0807,Howard University Hospital Complex,2017,In Compliance,2041 - 2121 GEORGIA AV NW,HOWARD UNIVERSITY  (LAND ONLY),1.0,WASHINGTON,DC,20060.0,1983,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1427564.0,712485.0,100,73.2,73.2,229.8,229.8,5784.7,8.1,12336.8,15283261.1,,38.91886007,-77.01926057
955,PM4005943,1786_0008,PSYCHIATRIC INSTITUTE OF WASHINGTON,2017,Data Under Review by DOEE,4228 WISCONSIN AVE NW,TAMOL LP,3.0,WASHINGTON,DC,20016.0,1967,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),101684.0,72087.0,100,113.7,117.9,272.6,277.1,741.0,10.3,4839.8,1549273.0,29100.68512,38.94391042,-77.07796474
1007,PM3496646,4163_0004,The HSC Pediatric Center,2017,In Compliance,1731 BUNKER HILL RD NE,CHILDREN'S CONVALESCENT HOSPITAL SICK CHILDREN,5.0,WASHINGTON,DC,20017.0,1968,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),200947.0,115454.0,79,192.8,198.0,424.9,429.1,1894.4,16.4,5692.3,3602828.6,99003.0854,38.94137589,-76.98104112
1017,PM5831947,3129_0804,Washington Hospital Center,2017,In Compliance,110 IRVING ST NW,WASHINGTON HOSPITAL CENTER,5.0,WASHINGTON,DC,20010.0,1970,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),791730.0,1459375.0,42,273.5,275.0,576.3,572.5,32870.2,22.5,179791.3,59164393.4,2000436.3169999998,38.93055031,-77.01334577
1022,PM3772931,0040_0036,George Washington University Hospital,2017,Data Under Review by DOEE,900 23RD ST NW,GEORGE WASHINGTON,2.0,WASHINGTON,DC,20037.0,2002,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),450927.0,450927.0,58,301.0,300.0,679.3,675.9,11740.8,26.0,35759.5,22965756.9,573921.5787,38.9015842,-77.0503385
1814,PM3496646,4163_0004,The HSC Pediatric Center,2016,In Compliance,1731 BUNKER HILL RD NE,CHILDREN'S CONVALESCENT HOSPITAL SICK CHILDREN,5.0,WASHINGTON,DC,20017.0,1968,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),200947.0,115454.0,82,182.9,183.8,424.8,422.4,1914.2,16.6,4251.2,3768772.4,81979.30898999999,38.94137589,-76.98104112
1834,PM3772931,0040_0036,George Washington University Hospital,2016,In Compliance,900 23RD ST NW,GEORGE WASHINGTON,2.0,WASHINGTON,DC,20037.0,2002,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),450927.0,450927.0,47,340.8,341.2,724.9,720.7,13037.8,28.9,40599.5,23205299.9,745164.207,38.9015842,-77.0503385
2626,PM3205476,3129_0801,Children's National Medical Center,2015,In Compliance,111 MICHIGAN AVE NW,WASHINGTON HOSPITAL CENTER,5.0,Washington,DC,20010.0,1975,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),823802.0,1957377.0,57,196.3,197.8,429.5,428.0,38697.4,19.8,30361.6,57265668.8,,38.92727387,-77.01439601
2628,PM3496646,4163_0004,The HSC Pediatric Center,2015,In Compliance,1731 BUNKER HILL RD NE,CHILDRENS CONVALESCENT HOSPITAL SICK CHILDREN,5.0,Washington,DC,20017.0,1962,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),163068.0,115454.0,79,187.8,188.3,436.0,432.1,2218.0,19.2,4275.0,3866201.9,84401.2714,38.94137589,-76.98104112
2641,PM3772931,0040_0036,George Washington University Hospital,2015,In Compliance,900 23RD ST NW,GEORGE WASHINGTON,2.0,Washington,DC,20037.0,2002,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),450927.0,450927.0,38,371.5,372.7,761.6,757.9,15370.9,34.1,51259.7,23494915.0,873506.109,38.90132679,-77.05046239
3343,PM3205476,3129_0801,Children's National Medical Center,2014,In Compliance,0111 MICHIGAN AV,WASHINGTON HOSPITAL CENTER,5.0,WASHINGTON,DC,20010.0,1975,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),823802.0,1957377.0,50,201.0,200.7,440.6,439.3,39675.6,20.3,48387.3,58863276.4,,38.92741305,-77.01470055
3355,PM20056,3129_0804,Washington Hospital Center,2014,In Compliance,0110 IRVING ST,WASHINGTON HOSPITAL CENTER,5.0,WASHINGTON,DC,20010.0,1970,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),791730.0,2000000.0,1,559.3,557.5,817.7,814.9,79389.0,39.7,296726.8,62417910.4,5227805.612,38.92925322,-77.01536668
3781,PM3205476,3129_0801,Children's National Medical Center,2013,In Compliance,0111 MICHIGAN AV,NATIONAL CHILDREN'S MEDICAL CENTER,5.0,WASHINGTON,DC,20010.0,1975,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),823803.0,1957377.0,57,192.6,193.1,425.3,425.9,38228.7,19.5,63732.7,57344352.9,,38.92741305,-77.01470055
3783,PM3496646,4163_0004,The HSC Pediatric Center,2013,In Compliance,1731 BUNKER HILL RD,CHILDREN'S CONVALESCENT HOSPITAL SICK CHILDREN,5.0,WASHINGTON,DC,20017.0,1968,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),200947.0,115454.0,76,189.6,190.1,444.0,444.6,2157.0,18.7,5520.9,3965968.041,83548.93,38.9413469,-76.98119243
