,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
9,PM4919501,5982_0049,Tech Prep High,2017,Data Under Review by DOEE,2705 MARTIN LUTHER KING JR AVE SE,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,8,WASHINGTON,DC,20032,2013,K-12 School,K-12 School,56351,142172.0,100,12.2,12.2,31.3,31.3,164.8,1.2,1961.7,370224.5,4643.748334000001,38.84830661,-76.99618817,
10,PM4924642,0553_0844,Armstrong,2017,Data Under Review by DOEE,1400 1ST ST NW,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,5,WASHINGTON,DC,20001,1900,K-12 School,K-12 School,170227,170547.0,100,10.0,10.0,31.4,31.4,189.2,1.1,199.5,499908.3,,38.90941652,-77.01321464,
42,PM4780011,1046_0847,Chamberlain Academy,2017,Incomplete Report,1345 POTOMAC AV SE,FRIENDSHIP PUBLIC CHARTER SCHOOL,6,WASHINGTON,DC,20003,1941,K-12 School,K-12 School,76216,75270.0,100,34.6,35.0,59.8,60.2,187.1,2.5,874.7,247961.9,17563.93566,38.87939244,-76.98680458,
47,PM4370572,6242_0834,St Thomas More,2017,Data Under Review by DOEE,4275 4TH ST SE,ROMAN CATHOLIC ARCHBISHOP WASHINGTON,8,WASHINGTON,DC,20032,1952,K-12 School,K-12 School,53697,65431.0,99,34.9,34.6,63.1,62.2,169.1,2.6,421.3,242629.1,14541.42306,38.82619388,-76.99995736,
135,PM4975646,3636_0810,705 Edgewood Associates LLC,2017,Data Under Review by DOEE,705 EDGEWOOD ST NE,705 EDGEWOOD ASSOCIATES LLC,5,WASHINGTON,DC,20017,1955,K-12 School,K-12 School,63476,72208.0,64,33.7,33.7,93.7,93.7,245.3,3.4,682.4,705083.8,300.0000022,38.92365225,-76.99585571,
224,PM6374510,3722W_0001,AEP Charter Hope Lamond LLC,2017,In Compliance,6200 - 6220 KANSAS AV NE,AEP CHARTER HOPE LAMOND LLC,4,WASHINGTON,DC,20011,1958,K-12 School,K-12 School,80623,80623.0,49,47.1,47.9,110.2,109.4,336.6,4.2,599.2,819150.4,10061.85628,38.96594808,-77.00846869,
359,PM4378974,1825_0816,Sidwell Friends School,2017,In Compliance,3901 - 3827 WISCONSIN AV NW,SIDWELL FRIENDS SCHOOL,3,WASHINGTON,DC,20016,1970,K-12 School,K-12 School,102142,343797.0,89,59.3,61.5,130.7,132.2,1721.0,5.0,5311.9,3303219.5,88621.99799,38.9404544,-77.0739823,
379,PM3982680,2745F_0817,Lowell School,2017,In Compliance,1638 - 1640 KALMIA RD NW,LOWELL SCHOOL INC,4,WASHINGTON,DC,20012,1966,K-12 School,K-12 School,79513,85587.0,59,66.9,71.5,133.5,138.5,453.8,5.3,324.4,759563.5,31312.14458,38.98567349,-77.03853013,
411,PM5811460,5236_0104,Smilow,2017,In Compliance,5300 BLAINE ST,KIPP DC,7,WASHINGTON,DC,20019,1956,K-12 School,K-12 School,76770,107097.0,58,60.2,63.1,138.6,141.7,565.8,5.3,1406.3,1133399.9,25753.29997,38.89195567,-76.92464715,
470,PM4861489,1030_0084,Kingsman Academy Public Charter School,2017,In Compliance,1375 E ST NE,KINGSMAN ACADEMY PUBLIC CHARTER SCHOOL,6,WASHINGTON,DC,20002,1900,K-12 School,K-12 School,55219,61113.0,69,66.6,70.7,148.8,151.6,349.6,5.7,196.1,676464.5,17606.59641,38.89585771,-76.9862157,
