,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
500,PM1750762,0140_0913,114519th Street NW,2017,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20036.0,1955,Medical Office,Medical Office,173812.0,152027.0,78,56.4,57.4,152.4,151.9,847.5,5.6,6663.6,1986346.6,18020.19924,38.90506222,-77.04294197
617,PM1496039,0076_0083,"2021 K Street, NW",2017,In Compliance,2021 K ST NW,2021 K L.L.C,2.0,WASHINGTON,DC,20006.0,1971,Medical Office,Medical Office,258300.0,175073.0,84,53.7,55.3,168.6,173.7,1042.6,6.0,3978.2,2754236.5,27.86985099,38.90290022,-77.04562821
877,PM3989772,0036_0846,Chromium,2017,In Compliance,2301 M ST NW,CHROMIUM LLC,2.0,WASHINGTON,DC,20037.0,1981,Medical Office,Medical Office,68405.0,62404.0,12,72.5,72.5,227.6,227.6,501.8,8.0,1290.0,1325853.9,,38.90568436,-77.05033378
910,PM4379094,0025_0808,2440 M Street,2017,In Compliance,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2.0,WASHINGTON,DC,20037.0,2005,Medical Office,Medical Office,401625.0,116363.0,58,86.6,89.5,243.5,246.7,1026.1,8.8,2605.5,2489123.8,15818.5184,38.90507245,-77.05171073
973,PM3238385,0073_0079,"2141 K Street, NW",2017,In Compliance,2141 K ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20037.0,1966,Medical Office,Medical Office,166176.0,88373.0,41,112.0,114.5,291.7,294.4,951.2,10.8,4126.2,2157758.8,25318.79841,38.90292904,-77.04802991
1001,PM3442458,1601_0001,Foxhall Square,2017,In Compliance,3301 NEW MEXICO AVE NW,COLUMBIA REALTY VENTURE LLC,3.0,WASHINGTON,DC,20016.0,1975,Medical Office,Medical Office,165912.0,135136.0,38,147.2,154.5,366.2,372.6,1847.6,13.7,4997.7,4010994.4,62030.537670000005,38.93364844,-77.08518407
1514,PM1496039,0076_0083,"2021 K Street, NW",2016,In Compliance,2021 K ST NW,2021 K L.L.C,2.0,WASHINGTON,DC,20006.0,1971,Office,Medical Office,258300.0,175073.0,84,56.4,57.8,177.1,181.4,1132.2,6.5,4466.5,2893319.0,24.09375125,38.90290022,-77.04562821
1522,PM1750762,0140_0913,114519th Street NW,2016,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20036.0,1955,Medical Office,Medical Office,173812.0,152027.0,73,64.0,63.4,179.0,175.5,1017.5,6.7,5694.2,2384618.8,15887.00071,38.90506222,-77.04294197
1742,PM3989772,0036_0846,Chromium,2016,In Compliance,2301 M ST NW,CHROMIUM LLC,2.0,WASHINGTON,DC,20037.0,1981,Medical Office,Medical Office,68405.0,62404.0,11,78.0,77.8,244.8,244.2,558.0,8.9,1211.1,1426071.9,,38.90568436,-77.05033378
1799,PM3238385,0073_0079,"2141 K Street, NW",2016,In Compliance,2141 K ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,WASHINGTON,DC,20037.0,1966,Medical Office,Medical Office,166176.0,82592.0,39,117.9,119.4,315.6,317.1,983.8,11.9,7798.8,2220579.8,21643.900690000002,38.90292904,-77.04802991
1809,PM3442458,1601_0001,Foxhall Square,2016,In Compliance,3301 NEW MEXICO AVE NW,COLUMBIA REALTY VENTURE LLC,3.0,WASHINGTON,DC,20016.0,1975,Medical Office,Medical Office,165912.0,135136.0,43,144.6,146.5,364.1,364.7,1883.0,13.9,5046.4,4023718.8,58090.55792000001,38.93364844,-77.08518407
2327,PM1750762,0140_0913,114519th Street NW,2015,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2.0,Washington,DC,20036.0,1955,Medical Office,Medical Office,173812.0,152027.0,72,65.2,64.6,184.2,181.4,1206.4,7.9,6371.4,2468930.6,14817.87942,38.90506222,-77.04294197
2401,PM1496039,0076_0083,"2021 K Street, NW",2015,In Compliance,2021 K ST NW,2021 K L.L.C,2.0,Washington,DC,20006.0,1971,Office,Medical Office,258300.0,175073.0,80,63.9,63.6,200.4,199.6,1496.1,8.5,4818.8,3274701.4,67.56966693,38.90290022,-77.04562821
